BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
1741,18721,1/4P M-SUN 7:30-18:30,,,,,,30,,,,,,15,,,,,,0,,,,,,18:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,1/4P,,,,,
6248,17421,2P 7.30 - 22.00,,,,,,240,,,,,,120,,,,,,1,,,,,,22:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,2P,,,,,
6249,17424,2P 7.30 - 22.00,,,,,,240,,,,,,120,,,,,,1,,,,,,22:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,2P,,,,,
725,24394,LZ 15M M-F 9:30-19:30,2P SAT 7:30-19:30,2P SUN 7:30-18:30,,,,0,240,240,,,,15,120,120,,,,0,0,0,,,,19:30:00,19:30:00,18:30:00,,,,,,,,,,1,6,0,,,,09:30:00,07:30:00,07:30:00,,,,5,6,0,,,,Loading Zone 15M,2P,2P,,,
6251,17428,2P 7.30 - 22.00,,,,,,240,,,,,,120,,,,,,1,,,,,,22:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,2P,,,,,
5405,20906,2P MTR M-SAT 7:30-18:30,,,,,,240,,,,,,120,,,,,,0,,,,,,18:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,6,,,,,,2P Meter,,,,,
8167,25546,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,23:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,1P,,,,,
4956,21805,1P TKT A M-F 7:30-18:30,,,,,,120,,,,,,60,,,,,,0,,,,,,18:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,5,,,,,,1P Ticket A,,,,,
3928,27594,4P MTR M-F 7:30-18:30,4P MTR SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,4P Meter,4P Meter,,,,
4968,21811,1P TKT A M-F 7:30-18:30,,,,,,120,,,,,,60,,,,,,0,,,,,,18:30:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,5,,,,,,1P Ticket A,,,,,
605,24145,LZ 15 MINS 7.30AM - 2.00PM,P 10MINS 2.00PM - 11.00PM,P 10MINS 6.30PM - 8.30PM,,,,0,20,20,,,,15,10,10,,,,0,0,0,,,,14:00:00,23:00:00,20:30:00,,,,,,,,,,1,1,6,,,,07:30:00,14:00:00,18:30:00,,,,5,5,6,,,,Loading Zone 15M,P 10 Mins,P 10 Mins,,,
7978,25357,2P TKT M-SUN7:30AM-11PM,,,,,,240,,,,,,120,,,,,,1,,,,,,23:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,2P Ticket A,,,,,
8099,25478,2P M-SUN 7:30AM-11PM,,,,,,240,,,,,,120,,,,,,1,,,,,,23:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,2P,,,,,
3507,27592,1P MTR M-SAT 7:30-18:30,2P MTR M-SAT 18.30 - 20.30,2P SUN 7:30-18:30,,,,120,240,240,,,,60,120,120,,,,0,0,0,,,,18:30:00,20:30:00,18:30:00,,,,,,,,,,1,1,0,,,,07:30:00,18:30:00,07:30:00,,,,6,6,0,,,,1P Meter,2P,2P,,,
3947,24656,4P MTR M-F 7:30-18:30,4P MTR SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,4P Meter,4P Meter,,,,
1253,26382,2P MTR M-F 10:00-16:00,2P MTR M-F 19:00-20:30,2P MTR SAT 7:30-20:30,,,,240,240,240,,,,120,120,120,,,,0,0,0,,,,16:00:00,20:30:00,20:30:00,,,,,,,,,,1,1,6,,,,10:00:00,19:00:00,07:30:00,,,,5,5,6,,,,2P Meter,2P Meter,2P Meter,,,
8083,25462,1P M-SUN 7:30-23:00,,,,,,120,,,,,,60,,,,,,1,,,,,,23:00:00,,,,,,,,,,,,1,,,,,,07:30:00,,,,,,0,,,,,,1P,,,,,
6849,24688,4P TKT A M-F 7:30-18:30,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,07:30:00,07:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
604,23970,LZ 15 MINS 7.30AM - 2.00PM,P 10MINS 2.00PM - 11.00PM,P 10MINS 6.30PM - 8.30PM,,,,0,20,20,,,,15,10,10,,,,0,0,0,,,,14:00:00,23:00:00,20:30:00,,,,,,,,,,1,1,6,,,,07:30:00,14:00:00,18:30:00,,,,5,5,6,,,,Loading Zone 15M,P 10 Mins,P 10 Mins,,,
